Item,Dish,Ingredients
savoury_pancake,plate,"flour,cabbage,cooking_oil,egg"
fries_french,deep_bowl,"potato,cooking_oil"
popcorn,deep_bowl,"corn"
cornflakes,deep_bowl,"corn,milk"
happy_eggplant,plate,"eggplant"
scrambled_egg,deep_bowl,"egg,cooking_oil"
omelet,plate,"egg,cooking_oil,milk"
omelet_rice,deep_bowl,"egg,cooking_oil,milk,riceball"
french_toast,plate,"egg,bread,cooking_oil,sugar"
doughnut,plate,"egg,milk,butter,flour,cooking_oil"
grilled_fish,plate,"category:fish,cooking_oil,salt"
pancake,plate,"egg,milk,flour,cooking_oil"
potsticker,plate,"cabbage,onion,flour,cooking_oil"
risotto,deep_bowl,"tomato,onion,riceball,onion"
stir_fry,plate,"cabbage,cooking_oil"
fried_rice,deep_bowl,"riceball,cooking_oil,egg"
curry_bread,,"bread,curry_powder,cooking_oil"
thick_fried_noodles,deep_bowl,"noodles,cooking_oil"
tempura,deep_bowl,"egg,flour,cooking_oil"
apple_souffle,mug,"apple"
