Item,Dish,Ingredients
minecraft:rabbit_stew,bowl,"baked_potato,carrot,cooked_rabbit,category:mushroom"
minecraft:mushroom_stew,bowl,"brown_mushroom,red_mushroom"
hot_chocolate,mug,"milk,chocolate"
dumplings,deep_bowl,"cabbage,onion,flour,cooking_oil"
egg_overrice,deep_bowl,"egg,riceball"
noodles,deep_bowl,flour
tempura_noodles,deep_bowl,"tempura,noodles"
porridge,deep_bowl,"milk,riceball"
tempura_rice,deep_bowl,"tempura,riceball"
herb_soup,deep_bowl,"category:herb,onion"
rice_soup,deep_bowl,riceball
stew,deep_bowl,"milk,flour,category:stew_vegetable"
fish_stew,deep_bowl,category:fish
boiled_spinach,deep_bowl,spinach
candied_potato,deep_bowl,sweet_potato
pumpkin_stew,deep_bowl,pumpkin
hot_milk,mug,milk
boiled_egg,,egg,
curry_rice,deep_bowl,"riceball,curry_powder"
curry_noodles,deep_bowl,"noodles,curry_powder"
chocolate,,"milk,cocoa_beans,sugar"
mountain_stew,deep_bowl,"bamboo,carrot,brown_mushroom"
