item,quality
gemMoonStone,awesome
red_magic_flower,awesome
blue_magic_flower,awesome
cat#magic,good
cat#herb,good
cat#mineral,good
cat#monster,decent
cat#cooking,decent
bones,decent
piscary:fish 2,decent
cropGreenPepper,dislike
cropCorn,dislike
cropOnion,dislike
popcorn,dislike
cornflakes,dislike
baked_corn,dislike
cat#money,bad
cat#flower,bad
doria,bad
noodles,bad
curry_noodles,bad
tempura_noodles,bad
thick_fried_noodles,bad
porridge,bad
moondrop_flower,terrible
toy_flower,terrible
pink_cat_flower,terrible
