item,quality
stir_fry,awesome
raisin_bread,awesome
cropGrape,good
cropApple,good
cropOrange,good
cat#knowledge,good
cat#art,good
grape_juice,decent
orange_juice,decent
apple_juice,decent
cat#flower,decent
wine,dislike
pineapple_juice,dislike
tomato_juice,dislike
peach_juice,dislike
banana_juice,dislike
cat#herb,dislike
cat#mushroom,dislike
boiled_spinach,bad
candied_potato,bad
pickled_turnip,bad
sweet_potatoes,bad
herb_salad,bad
herb_soup,bad
herb_sandwich,bad
cat#fish,bad
cropSweetPotato,terrible
cropTurnip,terrible
salad,terrible
