item,quality
dustRedstone,awesome
blockRedstone,awesome
redstone_torch,awesome
cat#machine,good
cat#fruit,good
cat#meat,good
cat#building,decent
cat#gem,decent
egg_overrice,decent
omelet_rice,decent
bamboo_rice,decent
fried_rice,decent
tempura_rice,decent
toasted_riceballs,decent
riceball,decent
cat#mushroom,dislike
cat#magic,dislike
curry_bread,dislike
curry_rice,dislike
curry_noodles,dislike
rice_soup,dislike
matsutake_rice,dislike
mushroom_rice,dislike
minecraft:red_flower 5,bad
cropCarrot,bad
marmalade,bad
orange_juice,bad
cropOrange,terrible
gemAgate,terrible
fishClownfish,terrible
