item,quality
cropPotato,awesome
baked_potato,awesome
fries_french,awesome
cropTomato,good
cat#wool,good
cat#flower,decent
cat#egg,dislike
boiled_egg,dislike
scrambled_egg,dislike
egg_overrice,dislike
animal_product.getstack(sizeable.mayonnaise,dislike
animal_product.getstack(sizeable.mayonnaise,dislike
animal_product.getstack(sizeable.mayonnaise,dislike
chocolate,bad
chocolate_cake,bad
chocolate_cookies,bad
hot_chocolate,bad
hot_milk,bad
strawberry_milk,bad
cat#milk,bad
cropPumpkin,terrible
pumpkin_pie,terrible
pumpkin_stew,terrible
