npc_id,name,value
harvestfestival:abii,birth_day,27
harvestfestival:abii,birth_season,3
harvestfestival:alicia,birth_day,23
harvestfestival:alicia,birth_season,0
harvestfestival:aria,birth_day,11
harvestfestival:aria,birth_season,3
harvestfestival:ashlee,birth_day,16
harvestfestival:ashlee,birth_season,2
harvestfestival:benjii,birth_day,19
harvestfestival:benjii,birth_season,3
harvestfestival:brandon,birth_day,13
harvestfestival:brandon,birth_season,2
harvestfestival:candice,birth_day,4
harvestfestival:candice,birth_season,2
harvestfestival:claudius,birth_day,14
harvestfestival:claudius,birth_season,1
harvestfestival:cloe,birth_day,3
harvestfestival:cloe,birth_season,0
harvestfestival:damian,birth_day,22
harvestfestival:damian,birth_season,2
harvestfestival:daniel,birth_day,1
harvestfestival:daniel,birth_season,3
harvestfestival:fenn,birth_day,25
harvestfestival:fenn,birth_season,1
harvestfestival:jade,birth_day,14
harvestfestival:jade,birth_season,0
harvestfestival:jakob,birth_day,28
harvestfestival:jakob,birth_season,2
harvestfestival:jared,birth_day,9
harvestfestival:jared,birth_season,3
harvestfestival:jeimmi,birth_day,8
harvestfestival:jeimmi,birth_season,1
harvestfestival:jenni,birth_day,7
harvestfestival:jenni,birth_season,3
harvestfestival:jim,birth_day,26
harvestfestival:jim,birth_season,0
harvestfestival:johan,birth_day,2
harvestfestival:johan,birth_season,2
harvestfestival:harvest_goddess,birth_day,8
harvestfestival:harvest_goddess,birth_season,0
harvestfestival:katlin,birth_day,12
harvestfestival:katlin,birth_season,1
harvestfestival:liam,birth_day,27
harvestfestival:liam,birth_season,2
harvestfestival:liara,birth_day,17
harvestfestival:liara,birth_season,0
harvestfestival:lily,birth_day,10
harvestfestival:lily,birth_season,0
harvestfestival:luke,birth_day,21
harvestfestival:luke,birth_season,0
harvestfestival:nathan,birth_day,13
harvestfestival:nathan,birth_season,3
harvestfestival:nicholas,birth_day,27
harvestfestival:nicholas,birth_season,1
harvestfestival:nicole,birth_day,27
harvestfestival:nicole,birth_season,1
harvestfestival:tiberius,birth_day,15
harvestfestival:tiberius,birth_season,3
harvestfestival:tomas,birth_day,9
harvestfestival:tomas,birth_season,1
harvestfestival:trent,birth_day,6
harvestfestival:trent,birth_season,2
harvestfestival:zephyr,birth_day,22
harvestfestival:zephyr,birth_season,3
harvestfestival:yulif,birth_day,19
harvestfestival:yulif,birth_season,1
