department_id,id,stock_mechanic,cost_formula
#Tools
animal_ranch_tools,miracle_potion,limited_1,default
animal_ranch_tools,name_tag,limited_4,default
animal_ranch_tools,lead,limited_4,default
animal_ranch_tools,brush,limited_1,default
animal_ranch_tools,milker,limited_1,default
animal_ranch_tools,shears,limited_1,default
#Animals
animal_ranch_animals,fodder,unlimited,default
animal_ranch_animals,slop,unlimited,default
animal_ranch_animals,generic_treat,unlimited,default
animal_ranch_animals,cow_treat,unlimited,default
animal_ranch_animals,sheep_treat,unlimited,default
animal_ranch_animals,pig_treat,unlimited,default
animal_ranch_animals,cow,limited_4,default
animal_ranch_animals,sheep,limited_4,default
animal_ranch_animals,pig,limited_4,default
