department_id,listing_id,id,type,data,gold,weight
#Items
animal_ranch_tools,miracle_potion,default,item,miracle_potion,1500,1
animal_ranch_tools,name_tag,default,item,name_tag,250,1
animal_ranch_tools,lead,default,item,lead,150,1
animal_ranch_tools,brush,default,item,brush,1000,1
animal_ranch_tools,milker,default,item,milker,2000,1
animal_ranch_tools,shears,default,item,shears,2000,1
#Animals
animal_ranch_animals,fodder,default,item,fodder,50,1
animal_ranch_animals,slop,default,item,slop,100,1
animal_ranch_animals,generic_treat,default,item,generic_treat,10,1
animal_ranch_animals,cow_treat,default,item,cow_treat,30,1
animal_ranch_animals,sheep_treat,default,item,sheep_treat,25,1
animal_ranch_animals,pig_treat,default,item,pig_treat,50,1
animal_ranch_animals,cow,default,entity,cow,3000,1
animal_ranch_animals,sheep,default,entity,sheep,2500,1
animal_ranch_animals,pig,default,entity,pig,8000,1
