id,comparator_1_id,less_than,equal_to,greater_than,comparator_2_id
year_two,town_age,false,true,true,two_years
year_three,two_years,false,true,true,three_years
has_three_hearts,relationship_value,false,true,true,three_hearts
has_space_in_coop,small_animal_count,true,false,false,coop_capacity
has_space_in_barn,large_animal_count,true,false,false,barn_capacity
has_community,community_points,false,true,true,ten
watched_frying_pan,has_watched_frying_pan,false,true,false,is_true
watched_mixer,has_watched_mixer,false,true,false,is_true
watched_cooking_pot,has_watched_cooking_pot,false,true,false,is_true
watched_power_berry,has_watched_power_berry,false,true,false,is_true
has_general_store,has_general_store,false,true,false,is_true
no_general_store,has_general_store,false,true,false,is_false
has_medium_barn,medium_barn_plus_count,false,true,true,one
has_large_barn,large_barn_count,false,true,true,one
has_medium_coop,medium_coop_plus_count,false,true,true,one
has_large_coop,large_coop_plus_count,false,true,true,one
has_library,has_library,false,true,false,is_true
has_cafe,get_has_cafe,false,true,false,is_true
has_village_field,get_has_village_field,false,true,false,is_true
has_village_green,get_has_village_green,false,true,false,is_true
has_animal_ranch,get_has_animal_ranch,false,true,false,is_true
has_poultry_farm,get_has_poultry_farm,false,true,false,is_true
has_sunday_market,get_has_village_green,false,true,false,is_true
helped_yulif,get_helped_yulif,false,true,false,is_true
helped_jakob,get_helped_jakob,false,true,false,is_true
helped_jim,get_helped_jim,false,true,false,is_true
met_johan,get_met_johan,false,true,false,is_true
jakob_needs_string,get_jakob_needs,false,true,false,is_true
#Tools
is_not_upgrading,get_upgrading_status,false,true,false,is_false
#Basic
has_basic_axe,basic_axe_count,false,true,true,one
has_basic_hammer,basic_hammer_count,false,true,true,one
has_basic_shovel,basic_shovel_count,false,true,true,one
has_basic_hoe,basic_hoe_count,false,true,true,one
has_basic_watering_can,basic_watering_can_count,false,true,true,one
has_basic_sickle,basic_sickle_count,false,true,true,one
has_basic_fishing_rod,basic_fishing_rod_count,false,true,true,one
has_basic_sword,basic_sword_count,false,true,true,one
#Copper
has_copper_axe,copper_axe_count,false,true,true,one
has_copper_hammer,copper_hammer_count,false,true,true,one
has_copper_shovel,copper_shovel_count,false,true,true,one
has_copper_hoe,copper_hoe_count,false,true,true,one
has_copper_watering_can,copper_watering_can_count,false,true,true,one
has_copper_sickle,copper_sickle_count,false,true,true,one
has_copper_fishing_rod,copper_fishing_rod_count,false,true,true,one
has_copper_sword,copper_sword_count,false,true,true,one
#Silver
has_silver_axe,silver_axe_count,false,true,true,one
has_silver_hammer,silver_hammer_count,false,true,true,one
has_silver_shovel,silver_shovel_count,false,true,true,one
has_silver_hoe,silver_hoe_count,false,true,true,one
has_silver_watering_can,silver_watering_can_count,false,true,true,one
has_silver_sickle,silver_sickle_count,false,true,true,one
has_silver_fishing_rod,silver_fishing_rod_count,false,true,true,one
has_silver_sword,silver_sword_count,false,true,true,one
#Gold
has_gold_axe,gold_axe_count,false,true,true,one
has_gold_hammer,gold_hammer_count,false,true,true,one
has_gold_shovel,gold_shovel_count,false,true,true,one
has_gold_hoe,gold_hoe_count,false,true,true,one
has_gold_watering_can,gold_watering_can_count,false,true,true,one
has_gold_sickle,gold_sickle_count,false,true,true,one
has_gold_fishing_rod,gold_fishing_rod_count,false,true,true,one
has_gold_sword,gold_sword_count,false,true,true,one
#Blessed
has_blessed_axe,blessed_axe_count,false,true,true,one
has_blessed_hammer,blessed_hammer_count,false,true,true,one
has_blessed_shovel,blessed_shovel_count,false,true,true,one
has_blessed_hoe,blessed_hoe_count,false,true,true,one
has_blessed_watering_can,blessed_watering_can_count,false,true,true,one
has_blessed_sickle,blessed_sickle_count,false,true,true,one
has_blessed_fishing_rod,blessed_fishing_rod_count,false,true,true,one
has_blessed_sword,blessed_sword_count,false,true,true,one
