Name,Item
copper_coin,harvestfestival:coin 0
silver_coin,harvestfestival:coin 1
gold_coin,harvestfestival:coin 2
junk_material,harvestfestival:material 0
mythic_stone,harvestfestival:material 1
copper_metal,harvestfestival:metal 0
silver_metal,harvestfestival:metal 1
gold_metal,harvestfestival:metal 2
mystril_metal,harvestfestival:metal 3
orichalc_metal,harvestfestival:metal 4
goddess_flower,harvestfestival:flower 0
blue_magic_flower,harvestfestival:flower 1
moondrop_flower,harvestfestival:flower 2
pink_cat_flower,harvestfestival:flower 3
red_magic_flower,harvestfestival:flower 4
toy_flower,harvestfestival:flower 5
copper_ingot,harvestfestival:ingot 0
silver_ingot,harvestfestival:ingot 1
mystril_ingot,harvestfestival:ingot 2
weed,harvestfestival:shrub 0
toadstool,harvestfestival:shrub 2
apple_jam,harvestfestival:food 0
grape_jam,harvestfestival:food 1
strawberry_jam,harvestfestival:food 3
marmalade,harvestfestival:food 2
jam_bun,harvestfestival:food 4
wild_grapes,harvestfestival:food 5
dwarfen_shroom,harvestfestival:mushroom 0
grass_starter,harvestfestival:starter 0
