Input,Output
minecraft:wheat,minecraft:wheat_seeds
minecraft:beetroot,minecraft:beetroot_seeds
minecraft:pumpkin,minecraft:pumpkin_seeds
minecraft:melon,minecraft:melon_seeds
turnip,turnip_seeds
cucumber,cucumber_seeds
strawberry,cabbage_seeds
cabbage,cabbage_seeds
onion,onion_seeds
tomato,tomato_seeds
corn,corn_seeds
pineapple,pineapple_seeds
eggplant,eggplant_seeds
spinach,spinach_seeds
sweet_potato,sweet_potato_seeds
green_pepper,green_pepper_seeds
minecraft:brown_mushroom,minecraft:brown_mushroom_spores
minecraft:red_mushroom,minecraft:red_mushroom_spores
