Animal,Trait
cow,eats_grass
cow,eats_hay
cow,milkable
cow,more_product
cow,pettable
cow,cleanable
chicken,lays_egg
chicken,eats_bird_feed
chicken,carriable
chicken,more_product
pig,eats_slop
pig,finds_product
pig,pettable
pig,cleanable
pig,more_product_chance
sheep,eats_grass
sheep,eats_hay
sheep,shearable
sheep,faster_product_reset
sheep,pettable
sheep,cleanable
horse,eats_grass
horse,eats_hay
horse,pettable
horse,pet
horse,cleanable
llama,eats_grass
llama,eats_hay
llama,pettable
llama,pet
llama,cleanable
rabbit,eats_rabbit_food
rabbit,finds_product
rabbit,carriable
rabbit,more_product_chance
cat,eats_cat_food
cat,carriable
cat,pet
dog,eats_dog_food
dog,pettable
dog,pet
dog,cleanable
donkey,eats_grass
donkey,eats_hay
donkey,pettable
donkey,pet
donkey,cleanable
duck,lays_egg
duck,eats_bird_feed
duck,carriable
duck,more_product
parrot,eats_bird_feed
parrot,carriable
