Item,Value
#Cooked Food
fishsticks,33
sashimi,33
fish_stew,50
#Raw Fish
anchovy,30
angel,230
angler,500
bass,105
blaasop,365
bowfin,130
butterfly,200
carp,60
catfish,120
chub,40
clown,170
cod,50
damsel,105
electricray,230
gold,35
herring,85
koi,280
lamprey,100
lungfish,200
mantaray,400
minnow,20
perch,65
pickerel,140
pike,235
piranha,400
puffer,300
pupfish,115
salmon,80
sardine,20
siamese,200
stargazer,140
stingray,250
tang,230
tetra,185
trout,80
tuna,160
walleye,110
#Loot
bones,1
boot,1
can,1
fossil,5000
treasure,10000
